提	ti2
惕	ti4
援	yuan2
剔	ti1
忘	wang4

唱	chang4
娼	chang1
喂	wei2
障	zhang4
威	wei1

溪	xi1
漆	qi1
演	yan3
昔	xi1
晏	yan4

搪	tang2
塘	tang2
揖	yi1
尝	chang2
鹬	yu4

铝	lv3
侣	lv3
铬	ge4
礼	li3
猿	yuan2

憎	zeng1
僧	seng1
懊	ao4
铛	cheng1
轧	ya4

沿	yan2
泱	yang1
治	zhi4
衍	yan3
迄	qi4

呷	xia1
岬	jia3
听	yin3
匣	xia2
隠	yin3

梓	zi3
桎	zhi4
样	yang4
死	si3
沅	yuan2

苑	yuan4
宛	wan3
苛	ke1
愿	yuan4
羁	ji1

柑	gan1
根	gen1
柚	you4
感	gan3
肟	wo4

拮	jie2
诘	jie2
按	an4
邪	xie2
韵	yun4

昏	hun1
昆	kun1
杳	yao3
獾	huan1
捱	ai2

滥	lan4
湛	zhan4
溢	yi4
烂	lan4
咿	yi1

俯	fu3
府	fu3
俺	an3
副	fu4
剜	wan1

演	yan3
淹	yan1
滴	di1
衍	yan3
驱	qu1

掸	dan3
弹	dan4
禅	chan2
袒	tan3
郁	yu4

讧	hong4
红	hong2
仁	ren2
控	kong4
淤	yu1

昆	kun1
昏	hun1
昱	yu4
困	kun4
鄂	e4

铰	jiao3
饺	jiao3
银	yin2
搅	jiao3
尹	yin3

娟	juan1
绢	juan4
媚	mei4
倦	juan4
弋	yi4

钳	qian2
铅	qian1
铱	yi1
乾	qian2
伊	yi1

铭	ming2
酩	ming3
铬	ge4
明	ming2
澳	ao4

慰	wei4
熨	yu4
憨	han1
位	wei4
沧	cang1

脐	qi2
齐	qi2
胺	an4
笈	ji2
二	er4

荧	ying2
莹	ying2
荤	hun1
嬴	ying2
筷	kuai4

荞	qiao2
茬	cha2
英	ying1
翘	qiao2
婴	ying1

哇	wa1
蛙	wa1
桂	gui4
挖	wa1
郡	jun4

浩	hao4
诰	gao4
惜	xi1
郝	hao3
瘟	wen1

壬	ren2
任	ren4
夭	yao1
涔	cen2
拽	ye4

诽	fei3
非	fei1
谙	an1
废	fei4
円	yuan2

训	xun4
巡	xun2
讹	e2
迅	xun4
腰	yao1
